NODE_ID,LINK_ID,LANES,MAX_SPD,CURVATURE,SLOPE
-,3070037600,3,50,31.606,-0.074
-,3110051900,1,30,0,0
-,3070019300,3,90,-13.951,-1.318
-,3070041701,3,60,0,0
-,3070019400,3,90,49.836,1.222
-,3070019300,3,90,-13.951,-1.318
-,3060120700,2,90,-1.241,-1.084
-,3070013400,3,90,0,0
-,3070040606,2,50,0,0
-,3070019400,3,90,49.836,1.222
-,3070570301,3,60,0,0
-,3080000102,2,90,,
-,3070508000,3,50,0,0
-,3110052100,2,80,0,0
-,3070018701,3,90,0,0
-,3060124600,2,90,0,0
-,3070038002,3,50,0,0
-,3070040300,3,60,0,0
-,3070044600,2,50,0,0
-,3070240302,3,80,130.128,0.527
-,3070040503,2,50,-17.523,0.27
-,3120783100,2,90,-114.943,3.064
-,3120783100,2,90,-114.943,3.064
-,3070104800,1,60,0,0
-,3070023100,2,30,0,0
-,3060237800,2,80,-0.723,-0.37
-,3060237800,2,80,-0.723,-0.37
-,3070040503,2,50,-17.523,0.27
-,3060015501,2,90,-0.636,-0.445
-,3060124500,2,90,-7.895,0.936
-,3070040604,2,50,23.046,-0.26
-,3070013602,3,50,0,0
-,3070008701,2,90,83.79,2.102
-,3070240201,3,80,-129.033,-0.512
-,3060015601,2,90,-0.714,0.441
-,3070037600,3,50,31.606,-0.074
-,3060123800,2,90,-32.16,0.681
-,3070020402,3,90,,
-,3110049800,2,90,-15.952,-0.857
-,3110052200,1,80,0,0
-,3110047600,2,90,40.324,-3
-,3070018801,3,90,0,0
-,3060238800,2,80,100.196,1.552
-,3120783000,2,90,115.016,-3.078
-,3070036901,2,80,-17.486,-0.652
-,3070037700,3,50,0,0
-,3120783000,2,90,115.016,-3.078
-,3070028606,2,80,,
-,3060124500,2,90,-7.895,0.936
-,3060124500,2,90,-7.895,0.936
-,3070198200,1,30,,
-,3070014800,3,90,0,0
-,3070256200,3,90,,
-,3070041701,3,60,0,0
-,3060123800,2,90,-32.16,0.681
